frame,ground_truth,predicted,error,abs_error,tier
1020,0,1,1,1,EMPTY
1080,0,2,2,2,EMPTY
1140,0,1,1,1,EMPTY
1200,0,1,1,1,EMPTY
1260,0,1,1,1,EMPTY
1320,0,1,1,1,EMPTY
1380,0,2,2,2,EMPTY
1440,0,1,1,1,EMPTY
1500,0,4,4,4,EMPTY
1560,0,3,3,3,EMPTY
1620,0,2,2,2,EMPTY
1680,0,4,4,4,EMPTY
1740,0,2,2,2,EMPTY
1800,0,3,3,3,EMPTY
1860,0,4,4,4,EMPTY
1920,0,2,2,2,EMPTY
1980,0,1,1,1,EMPTY
2040,0,0,0,0,EMPTY
2100,0,1,1,1,EMPTY
2160,0,0,0,0,EMPTY
2220,0,1,1,1,EMPTY
2280,0,0,0,0,EMPTY
2340,0,3,3,3,EMPTY
2400,0,1,1,1,EMPTY
2460,0,2,2,2,EMPTY
2520,0,3,3,3,EMPTY
2580,0,2,2,2,EMPTY
2640,1,2,1,1,LOW
2700,2,3,1,1,LOW
2760,3,3,0,0,LOW
2820,3,1,-2,2,LOW
2880,3,1,-2,2,LOW
2940,3,1,-2,2,LOW
3000,3,3,0,0,LOW
3060,3,3,0,0,LOW
3120,3,3,0,0,LOW
3180,3,4,1,1,LOW
3240,3,6,3,3,LOW
3300,3,2,-1,1,LOW
3360,3,4,1,1,LOW
3420,3,5,2,2,LOW
3480,3,4,1,1,LOW
3540,3,0,-3,3,LOW
3600,3,1,-2,2,LOW
3660,3,0,-3,3,LOW
3720,3,0,-3,3,LOW
3780,3,0,-3,3,LOW
3840,3,1,-2,2,LOW
3900,3,2,-1,1,LOW
3960,3,0,-3,3,LOW
4020,3,0,-3,3,LOW
4080,3,1,-2,2,LOW
4140,3,1,-2,2,LOW
4200,3,2,-1,1,LOW
4260,3,1,-2,2,LOW
4320,3,2,-1,1,LOW
4380,3,3,0,0,LOW
4440,3,3,0,0,LOW
4500,3,3,0,0,LOW
4560,3,4,1,1,LOW
4620,4,1,-3,3,LOW
4680,4,2,-2,2,LOW
4740,4,2,-2,2,LOW
4800,4,1,-3,3,LOW
4860,4,1,-3,3,LOW
4920,4,0,-4,4,LOW
4980,4,1,-3,3,LOW
5040,4,1,-3,3,LOW
5100,4,1,-3,3,LOW
5160,4,0,-4,4,LOW
5220,4,0,-4,4,LOW
5280,4,3,-1,1,LOW
5340,4,1,-3,3,LOW
5400,4,2,-2,2,LOW
5460,4,1,-3,3,LOW
5520,5,1,-4,4,LOW
5580,5,2,-3,3,LOW
5640,5,2,-3,3,LOW
5700,5,3,-2,2,LOW
5760,5,1,-4,4,LOW
5820,5,2,-3,3,LOW
5880,5,2,-3,3,LOW
5940,5,3,-2,2,LOW
6000,5,1,-4,4,LOW
6060,5,2,-3,3,LOW
6120,5,2,-3,3,LOW
6180,5,3,-2,2,LOW
6240,5,4,-1,1,LOW
6300,5,3,-2,2,LOW
6360,5,1,-4,4,LOW
6420,5,3,-2,2,LOW
6480,5,1,-4,4,LOW
6540,5,1,-4,4,LOW
6600,5,2,-3,3,LOW
6660,5,0,-5,5,LOW
6720,5,0,-5,5,LOW
6780,5,1,-4,4,LOW
6840,5,1,-4,4,LOW
6900,5,3,-2,2,LOW
6960,5,5,0,0,LOW
7020,5,6,1,1,LOW
7080,5,5,0,0,LOW
7140,5,3,-2,2,LOW
7200,5,4,-1,1,LOW
7260,5,6,1,1,LOW
7320,7,5,-2,2,MEDIUM
7380,8,3,-5,5,MEDIUM
7440,9,2,-7,7,MEDIUM
